,Country,Happiness Score,Economy (GDP per Capita),Family,Health (Life Expectancy),Freedom,Generosity,Trust (Government Corruption),Country Code,2018_lifeexp,NHLY,2018_co2,2018_ch4,2018_n2o,2018_pop,2018_extcostratio,2018_llpp_who,PCEC,ERHNI
103,Albania,4.586,0.916,0.817,0.79,0.419,0.149,0.032,ALB,78.458,-3.2481611999999975,5560.0,3160.0,1100.0,2866376.0,0.9684973268224225,0.85000002,6.502500153000001,-9.545815215842891
104,Sierra Leone,4.571,0.256,0.813,0.0,0.355,0.238,0.053,SLE,54.309,-2.3298561000000015,1020.0,4610.0,1410.0,7650149.0,0.4701026803472602,0.63999999,4.8959999235,-4.631478787017333
105,Bangladesh,4.5,0.532,0.85,0.579,0.58,0.153,0.144,BGD,72.32,-3.6159999999999997,82760.0,83790.0,29240.0,161376713.0,0.4543809966113431,7.0700002,54.08550153,-28.191424087425723
106,Sri Lanka,4.471,0.918,1.314,0.672,0.585,0.307,0.05,LKA,76.812,-4.0633548,21630.0,10030.0,2240.0,21670000.0,0.2874929319530101,1.48,11.322000000000001,-7.318349775571981
107,Iraq,4.456,1.01,0.971,0.536,0.304,0.148,0.095,IRQ,70.454,-3.832697599999997,188140.0,16750.0,5420.0,38433604.0,0.38835163335135464,2.0899999,15.988499234999999,-10.04185739274913
108,Mali,4.447,0.37,1.233,0.152,0.367,0.139,0.056,MLI,58.893,-3.2567828999999997,5620.0,23290.0,13820.0,19077755.0,1.6840975768338515,0.1,0.7650000000000001,-4.545117546277896
109,Namibia,4.441,0.874,1.281,0.365,0.519,0.051,0.064,NAM,63.373,-3.542550700000001,4250.0,4510.0,2870.0,2448300.0,2.714863492188222,0.91000003,6.9615002294999995,-22.442073523929476
110,Cambodia,4.433,0.549,1.088,0.457,0.696,0.256,0.065,KHM,69.57,-3.944619000000001,11160.0,20310.0,5160.0,16249795.0,0.8428812054097131,1.26,9.639,-12.069150938944226
111,Burkina Faso,4.424,0.314,1.097,0.254,0.312,0.175,0.128,BFA,61.174,-3.5236223999999976,4270.0,15600.0,9850.0,19751466.0,1.1523183354274433,0.34999999,2.6774999235,-6.6089546549546245
112,Egypt,4.419,0.885,1.025,0.553,0.312,0.092,0.107,EGY,71.825,-4.173032500000003,246260.0,56870.0,22320.0,98423602.0,0.5710296547734415,1.1900001,9.103500765,-9.371401399067715
113,Mozambique,4.417,0.198,0.902,0.173,0.531,0.206,0.158,MOZ,60.163,-3.507502900000001,6640.0,16850.0,10700.0,29496009.0,0.8382120692536772,0.87,6.6555,-9.08622332691785
114,Kenya,4.41,0.493,1.048,0.454,0.504,0.352,0.055,KEN,66.342,-3.9141779999999993,18400.0,40250.0,18330.0,51392570.0,0.8563237990401913,1.0700001,8.185500764999999,-10.92361711213119
