,Country,Region,Happiness Score,Economy (GDP per Capita),Family,Health (Life Expectancy),Freedom,Trust (Government Corruption),Generosity,Dystopia Residual,Country Code,2016_lifeexp,NHLY,2016_co2,2016_ch4,2016_n2o,2016_pop,2016_extcostratio,2016_llpp_who,PCEC,ERHNI,Year
72,Turkey,Middle East and Northern Africa,5.389,1.16492,0.87717,0.64718,0.23889,0.12348,0.04707,2.29074,TUR,76.86,2.989854,374590,44510,35140,79827868,1.021782907,1.54,11.781,-9.047770432,2016
73,Indonesia,Southeastern Asia,5.314,0.95104,0.87625,0.49374,0.39237,0.00322,0.56521,2.03171,IDN,71.035,2.230499,494980,277450,91090,261556386,0.883196249,1.36,10.404,-6.958274773,2016
74,Jordan,Middle East and Northern Africa,5.303,0.99673,0.86216,0.60712,0.36023,0.13297,0.14262,2.20142,JOR,74.184,2.2477752,24860,6050,1300,9554286,0.388223252,1.09,8.3385,-0.989424389,2016
75,Azerbaijan,Central and Eastern Europe,5.291,1.12373,0.76042,0.54504,0.35327,0.17914,0.0564,2.2735,AZE,72.493,2.1095463,32660,44820,3970,9757812,1.510186718,0.67000002,5.125500153,-5.630915952,2016
76,Philippines,Southeastern Asia,5.279,0.81217,0.87877,0.47036,0.54854,0.11757,0.21674,2.23484,PHL,70.802,1.9753758,124920,64990,13300,103663812,0.361911729,1.09,8.3385,-1.042425152,2016
77,China,Eastern Asia,5.245,1.0278,0.79381,0.73561,0.44012,0.02745,0.04959,2.17087,CHN,76.21,1.867145,9814310,1242150,546990,1387790000,0.989633078,3.73,28.5345,-26.37154006,2016
78,Bhutan,Southern Asia,5.196,0.8527,0.90836,0.49759,0.46074,0.1616,0.48546,1.82916,BTN,70.781,1.3873076,1230,870,180,736706,0.683215954,2.0799999,15.91199923,-9.48402413,2016
79,Kyrgyzstan,Central and Eastern Europe,5.185,0.56044,0.95434,0.55449,0.40212,0.04762,0.38432,2.28136,KGZ,70.95121951,1.312597561,9700,4800,1850,6079500,0.75204784,1.04,7.956,-4.670695057,2016
80,Serbia,Central and Eastern Europe,5.177,1.03437,0.81329,0.6458,0.15718,0.04339,0.20737,2.27539,SRB,75.68780488,1.339674146,46240,12400,4910,7058322,1.731839843,1.59,12.1635,-19.72555979,2016
81,Bosnia and Herzegovina,Central and Eastern Europe,5.163,0.93383,0.64367,0.70766,0.09511,0,0.29889,2.48406,BIH,76.998,1.2550674,22340,3460,1210,3386263,0.927954742,2.24,17.136,-14.64636506,2016
82,Montenegro,Central and Eastern Europe,5.161,1.07838,0.74173,0.63533,0.15111,0.12721,0.17191,2.25531,MNE,76.44146341,1.230707561,2110,830,180,622303,0.809246726,1.08,8.262,-5.455288885,2016
83,Dominican Republic,Latin America and Caribbean,5.155,1.02787,0.99496,0.57669,0.52259,0.12372,0.21286,1.69626,DOM,73.471,1.1388005,24460,8980,3210,10397738,0.776668378,0.23,1.7595,-0.227747511,2016
84,Morocco,Middle East and Northern Africa,5.151,0.84058,0.38595,0.59471,0.25646,0.08404,0.04053,2.94891,MAR,75.974,1.1472074,63080,17200,7940,35126274,0.549127653,0.23999999,1.835999924,0.139009071,2016
85,Hungary,Central and Eastern Europe,5.145,1.24142,0.93164,0.67608,0.1977,0.04472,0.099,1.95473,HUN,76.06341463,1.102919512,44480,7200,5420,9814023,1.277659743,1.01,7.7265,-8.768918495,2016
86,Pakistan,Southern Asia,5.132,0.68816,0.26135,0.40306,0.14622,0.1388,0.31185,3.18286,PAK,66.77,0.881364,180570,143280,57870,203631356,0.693576872,3.76,28.764,-19.06868114,2016
87,Lebanon,Middle East and Northern Africa,5.129,1.12268,0.64184,0.76171,0.26228,0.03061,0.23693,2.07339,LBN,78.8,1.01652,27810,3100,740,6714281,0.32087176,0.99000001,7.573500077,-1.413602301,2016
88,Portugal,Western Europe,5.123,1.27607,0.94367,0.79363,0.44727,0.01521,0.11691,1.53015,PRT,81.12439024,0.99783,48760,11380,3160,10325452,0.82042956,0.11,0.8415,0.307438525,2016
89,Macedonia,Central and Eastern Europe,5.121,1.0193,0.78236,0.64738,0.27668,0.07047,0.23507,2.08947,MKD,75.4,0.91234,7390,2490,580,2072490,0.772385363,1.9400001,14.84100077,-10.55063177,2016
90,Vietnam,Southeastern Asia,5.061,0.74037,0.79117,0.66157,0.55954,0.11556,0.25075,1.9418,VNM,75.172,0.4585492,223870,89260,23590,93640435,0.671800301,2.0799999,15.91199923,-10.23113668,2016
91,Tunisia,Middle East and Northern Africa,5.045,0.97724,0.43165,0.59577,0.23553,0.0817,0.03936,2.68413,TUN,76.115,0.3425175,28990,6290,3340,11303942,0.707510277,0.27000001,2.065500077,-1.118845031,2016
92,Greece,Western Europe,5.033,1.24886,0.75473,0.80029,0.05822,0.04127,0,2.12944,GRC,81.38780488,0.268579756,66850,9400,4400,10775971,1.010001229,0.62,4.743,-4.521856075,2016
93,Tajikistan,Central and Eastern Europe,4.996,0.48835,0.75602,0.53119,0.43408,0.13509,0.25998,2.39106,TJK,70.397,-0.0281588,5960,5400,1940,8663575,0.556097275,1.0700001,8.185500765,-4.580093468,2016
94,Mongolia,Eastern Asia,4.907,0.98853,1.08983,0.55469,0.35972,0.03285,0.34539,1.53586,MNG,69.321,-0.6446853,18170,17010,12730,3056358,9.451606076,3.1800001,24.32700076,-230.5739135,2016
95,Laos,Southeastern Asia,4.876,0.68042,0.5497,0.38291,0.52168,0.22423,0.43079,2.08637,LAO,66.924,-0.8298576,15360,7850,2850,6845848,1.038611721,2.29,17.5185,-19.02477704,2016
96,Nigeria,Sub-Saharan Africa,4.875,0.75216,0.64498,0.05108,0.27854,0.0305,0.23219,2.88586,NGA,53.541,-0.6692625,108420,126910,36210,185960244,0.503179173,1.77,13.5405,-7.482560092,2016
97,Honduras,Latin America and Caribbean,4.871,0.69429,0.75596,0.58383,0.26755,0.06906,0.2044,2.29551,HND,74.701,-0.9636429,9400,7970,3050,9270794,0.809166049,1.5599999,11.93399923,-10.62022991,2016
98,Iran,Middle East and Northern Africa,4.813,1.11758,0.38857,0.64232,0.22544,0.0557,0.38538,1.99817,IRN,76.047,-1.4220789,605760,143250,37260,79563991,1.274007298,1.02,7.803,-11.36315784,2016
99,Zambia,Sub-Saharan Africa,4.795,0.61202,0.6376,0.23573,0.42662,0.11479,0.17866,2.58991,ZMB,62.464,-1.280512,5590,17850,15170,16363449,2.076416415,1.49,11.3985,-24.94854451,2016
100,Nepal,Southern Asia,4.793,0.44626,0.69699,0.50073,0.37012,0.07008,0.3816,2.32694,NPL,69.848,-1.4458536,9340,29720,7940,27263430,0.758783265,4.25,32.5125,-26.11579452,2016
101,Albania,Central and Eastern Europe,4.655,0.9553,0.50163,0.73007,0.31866,0.05301,0.1684,1.92816,ALB,78.194,-2.697693,4930,3250,1250,2876101,1.070662162,0.79000002,6.043500153,-9.16823994,2016
102,Bangladesh,Southern Asia,4.643,0.54177,0.24749,0.52989,0.39778,0.12583,0.19132,2.60904,BGD,71.785,-2.5627245,73740,80240,27270,157977151,0.432109855,6.2399998,47.73599847,-23.18991987,2016
103,Sierra Leone,Sub-Saharan Africa,4.635,0.36485,0.628,0,0.30685,0.08196,0.23897,3.01402,SLE,53.444,-1.950706,960,4800,1750,7328846,0.587601373,0.70999998,5.431499847,-5.142262767,2016
104,Iraq,Middle East and Northern Africa,4.575,1.07474,0.59205,0.51076,0.24856,0.13636,0.19589,1.81657,IRQ,70.122,-2.980185,172350,15840,4770,36610632,0.362179452,1.74,13.311,-7.801155688,2016
105,Namibia,Sub-Saharan Africa,4.574,0.93287,0.70362,0.34745,0.48614,0.10398,0.07795,1.92198,NAM,62.625,-2.667825,4360,4970,3260,2358044,3.172951756,0.87,6.6555,-23.78540541,2016
106,Cameroon,Sub-Saharan Africa,4.513,0.52497,0.62542,0.12698,0.42736,0.06126,0.2268,2.5198,CMR,58.063,-2.8276681,8550,14760,62700,23926549,5.519063765,2.5,19.125,-108.3797626,2016
107,Ethiopia,Sub-Saharan Africa,4.508,0.29283,0.37932,0.34578,0.36703,0.1717,0.29522,2.65614,ETH,65.482,-3.2217144,14950,100810,50870,103603461,1.154984804,1.11,8.4915,-13.02926786,2016
108,South Africa,Sub-Saharan Africa,4.459,1.02416,0.96053,0.18611,0.42483,0.08415,0.13656,1.64227,ZAF,63.153,-3.4165773,425180,44460,17510,56207649,0.807115744,1.51,11.5515,-12.73997482,2016
109,Sri Lanka,Southern Asia,4.415,0.97318,0.84783,0.62007,0.50817,0.07964,0.46978,0.91681,LKA,76.482,-4.474197,21930,9900,2520,21203000,0.318730746,1.41,10.7865,-7.912186188,2016
110,India,Southern Asia,4.404,0.74036,0.29247,0.45091,0.40285,0.08722,0.25028,2.18032,IND,68.897,-4.1062612,2183280,657690,245150,1324517250,0.464243921,4.9099998,37.56149847,-21.54395852,2016
